name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;255;0;532;3065;1771;3065;1766;0
header;148;126;148;164;1790;164;1790;126
A;949;193;949;222;972;222;972;193
A;1612;209;1612;221;1619;221;1619;209
A;1419;349;1419;360;1426;360;1426;349
A;766;852;766;864;773;864;773;852
B;941;873;941;901;967;901;967;873
B;1661;1428;1661;1447;1676;1447;1676;1428
C;940;1549;940;1578;962;1578;962;1549
A;865;1782;865;1783;867;1783;867;1782
B;675;2181;675;2196;685;2196;685;2181
A;477;2182;477;2196;486;2196;486;2182
C;528;2314;528;2368;574;2368;574;2314
B;584;2314;584;2368;620;2368;620;2314
A;752;2460;752;2460;752;2460;752;2460
A;1540;2639;1540;2639;1540;2639;1540;2639
A;1411;2642;1411;2643;1411;2643;1411;2642
A;1443;2746;1443;2748;1446;2748;1446;2746
A;939;2784;939;2784;940;2784;940;2784
A;631;2906;631;2911;636;2911;636;2906
