name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;890;0;890;3067;947;3067;947;0
header;101;123;101;162;1724;162;1724;123
A;901;189;901;216;925;216;925;189
B;903;866;903;890;923;890;923;866
C;904;1530;904;1558;926;1558;926;1530
A;892;1594;892;1597;894;1597;894;1594
A;904;1775;904;1776;905;1776;905;1775
A;913;2044;913;2047;916;2047;916;2044
D;908;2197;908;2225;930;2225;930;2197
A;913;2363;913;2364;913;2364;913;2363
A;892;2459;892;2460;892;2460;892;2459
A;902;2643;902;2643;902;2643;902;2643
A;934;2988;934;2996;940;2996;940;2988
