name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;901;0;901;3055;959;3055;959;0
header;97;115;97;152;1740;152;1740;115
A;911;322;911;346;915;346;915;322
B;905;368;905;394;924;394;924;368
A;909;521;909;538;914;538;914;521
A;931;558;931;562;935;562;935;558
B;912;566;912;585;926;585;926;566
A;932;567;932;584;936;584;936;567
C;944;605;944;631;963;631;963;605
B;898;613;898;631;913;631;913;613
B;918;614;918;632;929;632;929;614
B;946;662;946;679;960;679;960;662
B;913;701;913;727;920;727;920;701
A;940;895;940;900;945;900;945;895
A;913;1022;913;1049;919;1049;919;1022
C;941;1258;941;1286;961;1286;961;1258
D;946;1305;946;1331;959;1331;959;1305
B;903;1361;903;1379;917;1379;917;1361
B;937;1633;937;1658;951;1658;951;1633
B;944;1685;944;1703;955;1703;955;1685
B;925;1687;925;1704;939;1704;939;1687
A;904;2009;904;2011;907;2011;907;2009
