name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;803;0;894;3051;1699;3051;1539;0
header;102;130;102;164;1728;164;1728;130
D;1451;495;1451;522;1485;522;1485;495
B;1537;634;1537;653;1552;653;1552;634
A;1330;855;1330;863;1338;863;1338;855
B;1412;1442;1412;1455;1420;1455;1420;1442
A;903;1950;903;1957;910;1957;910;1950
A;1649;2178;1649;2178;1649;2178;1649;2178
D;959;2561;959;2589;983;2589;983;2561
D;1660;2569;1660;2589;1676;2589;1676;2569
A;1218;2620;1218;2622;1220;2622;1220;2620
A;975;2842;975;2868;991;2868;991;2842
A;1042;2919;1042;2921;1043;2921;1043;2919
