name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;663;0;778;3065;1462;3065;1069;0
header;170;109;170;146;1795;146;1795;109
A;734;74;734;75;734;75;734;74
A;945;143;945;144;947;144;947;143
A;1078;151;1078;151;1078;151;1078;151
A;966;167;966;195;986;195;986;167
B;966;844;966;872;987;872;987;844
C;962;1513;962;1542;984;1542;984;1513
D;961;2185;961;2213;982;2213;982;2185
A;858;2239;858;2239;858;2239;858;2239
A;973;2283;973;2285;976;2285;976;2283
A;1154;2620;1154;2645;1168;2645;1168;2620
C;1239;2721;1239;2749;1259;2749;1259;2721
B;1256;2780;1256;2807;1272;2807;1272;2780
C;991;2822;991;2840;1016;2840;1016;2822
