name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;192;0;261;3061;1547;3061;1662;0
header;83;114;83;148;1711;148;1711;114
A;904;89;904;90;908;90;908;89
A;492;152;492;154;495;154;495;152
A;890;180;890;208;913;208;913;180
A;1588;243;1588;255;1595;255;1595;243
A;1531;443;1531;444;1533;444;1533;443
A;1008;466;1008;478;1015;478;1015;466
B;899;849;899;876;919;876;919;849
A;325;1050;325;1057;332;1057;332;1050
A;1156;1054;1156;1066;1163;1066;1163;1054
A;239;1234;239;1242;246;1242;246;1234
A;908;1347;908;1347;908;1347;908;1347
A;1226;1422;1226;1433;1233;1433;1233;1422
C;901;1517;901;1545;921;1545;921;1517
A;783;1594;783;1601;789;1601;789;1594
A;1362;1607;1362;1618;1368;1618;1368;1607
A;1170;1833;1170;1844;1177;1844;1177;1833
B;1376;1913;1376;1930;1385;1930;1385;1913
A;1062;1923;1062;1936;1069;1936;1069;1923
B;843;2016;843;2030;851;2030;851;2016
A;1410;2020;1410;2031;1417;2031;1417;2020
A;373;2158;373;2170;380;2170;380;2158
D;907;2283;907;2309;928;2309;928;2283
B;985;2656;985;2674;999;2674;999;2656
B;570;2792;570;2809;579;2809;579;2792
A;1460;2852;1460;2867;1467;2867;1467;2852
