name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;149;0;172;3055;985;3055;985;0
header;144;87;144;122;1781;122;1781;87
A;951;148;951;177;976;177;976;148
A;654;322;654;325;655;325;655;322
B;952;826;952;853;971;853;971;826
A;921;1428;921;1436;929;1436;929;1428
C;946;1498;946;1526;966;1526;966;1498
A;667;1771;667;1785;674;1785;674;1771
A;231;1884;231;1884;232;1884;232;1884
D;550;1955;550;1969;557;1969;557;1955
B;327;2095;327;2107;334;2107;334;2095
A;924;2111;924;2112;925;2112;925;2111
A;197;2114;197;2114;198;2114;198;2114
A;635;2117;635;2117;637;2117;637;2117
D;950;2167;950;2195;970;2195;970;2167
A;272;2250;272;2250;272;2250;272;2250
A;648;2463;648;2475;655;2475;655;2463
A;821;2571;821;2572;823;2572;823;2571
A;934;2859;934;2859;934;2859;934;2859
A;580;2913;580;2913;580;2913;580;2913
A;189;2978;189;2989;196;2989;196;2978
