name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;520;0;244;3065;976;3065;976;0
header;131;137;131;176;1764;176;1764;137
A;704;82;704;82;704;82;704;82
A;939;203;939;230;960;230;960;203
A;668;528;668;534;674;534;674;528
B;942;876;942;902;963;902;963;876
A;524;940;524;946;529;946;529;940
A;549;1077;549;1083;554;1083;554;1077
B;768;1401;768;1417;793;1417;793;1401
B;448;1455;448;1467;456;1467;456;1455
A;606;1458;606;1459;606;1459;606;1458
A;538;1489;538;1497;545;1497;545;1489
C;936;1506;936;1535;958;1535;958;1506
A;755;1538;755;1544;761;1544;761;1538
B;629;1762;629;1781;644;1781;644;1762
A;392;1802;392;1816;399;1816;399;1802
D;938;2192;938;2219;959;2219;959;2192
A;742;2270;742;2274;746;2274;746;2270
A;899;2872;899;2885;907;2885;907;2872
A;931;2991;931;2991;933;2991;933;2991
