name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;240;0;263;3069;1031;3069;1008;0
header;182;118;182;155;1800;155;1800;118
A;980;169;980;196;1001;196;1001;169
A;973;244;973;244;974;244;974;244
A;244;498;244;505;251;505;251;498
A;665;763;665;788;679;788;679;763
B;981;838;981;867;1003;867;1003;838
A;346;1076;346;1078;348;1078;348;1076
A;948;1079;948;1118;973;1118;973;1079
A;904;1137;904;1145;911;1145;911;1137
A;956;1314;956;1339;971;1339;971;1314
A;992;1364;992;1364;994;1364;994;1364
B;868;1413;868;1431;897;1431;897;1413
A;992;1438;992;1442;996;1442;996;1438
A;632;1489;632;1490;632;1490;632;1489
C;983;1508;983;1536;1005;1536;1005;1508
B;874;1746;874;1765;889;1765;889;1746
A;621;1983;621;1984;623;1984;623;1983
A;996;2028;996;2028;996;2028;996;2028
D;988;2170;988;2199;1011;2199;1011;2170
A;992;2257;992;2258;994;2258;994;2257
A;757;2916;757;2916;758;2916;758;2916
A;594;2928;594;2928;596;2928;596;2928
A;822;2976;822;2977;822;2977;822;2976
