name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;251;0;274;3055;975;3055;952;0
header;116;123;116;173;1733;173;1733;123
A;863;578;863;578;864;578;864;578
B;921;618;921;662;953;662;953;618
A;726;791;726;793;727;793;727;791
A;921;899;921;928;944;928;944;899
B;929;1568;929;1595;948;1595;948;1568
A;709;1914;709;1930;717;1930;717;1914
A;900;2088;900;2088;900;2088;900;2088
B;387;2097;387;2113;397;2113;397;2097
C;931;2239;931;2268;953;2268;953;2239
A;488;2712;488;2712;491;2712;491;2712
A;900;3007;900;3011;904;3011;904;3007
