name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;972;0;995;3055;1832;3055;1717;0
header;186;134;186;177;1828;177;1828;134
A;1576;76;1576;87;1580;87;1580;76
A;993;196;993;223;1015;223;1015;196
A;1295;248;1295;255;1301;255;1301;248
B;995;864;995;894;1017;894;1017;864
A;1683;988;1683;995;1691;995;1691;988
A;1251;1369;1251;1380;1258;1380;1258;1369
C;998;1536;998;1563;1019;1563;1019;1536
A;1214;2048;1214;2053;1219;2053;1219;2048
D;1008;2225;1008;2253;1029;2253;1029;2225
A;1580;2538;1580;2538;1581;2538;1581;2538
A;1310;2696;1310;2702;1315;2702;1315;2696
