name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;172;0;200;3059;1035;3059;1012;0
header;168;108;168;141;1810;141;1810;108
A;581;81;581;82;581;82;581;81
B;260;682;260;701;274;701;274;682
A;272;883;272;884;274;884;274;883
A;972;1330;972;1335;1008;1335;1008;1330
A;743;1593;743;1598;746;1598;746;1593
A;707;1965;707;1965;707;1965;707;1965
D;280;2295;280;2323;302;2323;302;2295
A;668;2338;668;2338;668;2338;668;2338
B;487;2492;487;2508;502;2508;502;2492
A;920;2593;920;2605;924;2605;924;2593
A;975;2620;975;2646;980;2646;980;2620
A;382;2690;382;2690;382;2690;382;2690
A;539;2891;539;2891;539;2891;539;2891
A;382;2930;382;2930;382;2930;382;2930
