name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;494;0;517;3075;1467;3075;1559;0
header;199;132;199;174;1832;174;1832;132
A;602;111;602;111;603;111;603;111
A;993;197;993;227;1019;227;1019;197
C;1417;199;1417;230;1446;230;1446;199
A;960;244;960;271;983;271;983;244
B;845;290;845;316;866;316;866;290
A;1035;290;1035;314;1055;314;1055;290
B;1035;334;1035;360;1055;360;1055;334
A;1477;335;1477;361;1498;361;1498;335
A;690;503;690;503;691;503;691;503
A;760;515;760;515;760;515;760;515
A;1485;519;1485;546;1507;546;1507;519
A;1266;528;1266;535;1271;535;1271;528
B;812;838;812;864;831;864;831;838
B;998;864;998;893;1021;893;1021;864
B;1398;974;1398;1001;1421;1001;1421;974
A;1461;1067;1461;1092;1483;1092;1483;1067
A;771;1113;771;1139;792;1139;792;1113
A;680;1158;680;1184;700;1184;700;1158
A;1451;1206;1451;1230;1473;1230;1473;1206
A;616;1250;616;1276;634;1276;634;1250
C;1472;1251;1472;1278;1503;1278;1503;1251
B;1212;1252;1212;1277;1231;1277;1231;1252
B;1336;1527;1336;1554;1349;1554;1349;1527
C;992;1531;992;1560;1013;1560;1013;1531
A;1339;1582;1339;1589;1347;1589;1347;1582
B;764;1661;764;1687;784;1687;784;1661
B;1202;1667;1202;1693;1224;1693;1224;1667
A;1137;1675;1137;1682;1144;1682;1144;1675
A;884;1774;884;1787;891;1787;891;1774
A;1113;1897;1113;1897;1114;1897;1114;1897
D;993;2200;993;2228;1015;2228;1015;2200
A;1446;2201;1446;2208;1453;2208;1453;2201
B;863;2292;863;2319;881;2319;881;2292
B;537;2355;537;2375;552;2375;552;2355
A;985;2380;985;2380;986;2380;986;2380
