name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;934;0;934;3069;1648;3069;1486;0
header;156;164;156;211;1781;211;1781;164
A;1204;78;1204;78;1204;78;1204;78
A;957;234;957;261;978;261;978;234
A;964;282;964;283;964;283;964;282
A;960;741;960;741;960;741;960;741
A;975;895;975;897;977;897;977;895
B;953;918;953;947;975;947;975;918
D;1333;968;1333;1002;1351;1002;1351;968
C;952;1597;952;1626;974;1626;974;1597
A;1486;1613;1486;1640;1504;1640;1504;1613
A;1465;1621;1465;1628;1471;1628;1471;1621
D;952;2264;952;2293;977;2293;977;2264
