name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;333;0;379;3051;874;3051;966;0
header;103;94;103;131;1729;131;1729;94
A;903;154;903;186;929;186;929;154
A;812;159;812;166;817;166;817;159
A;842;392;842;392;842;392;842;392
A;597;530;597;537;604;537;604;530
A;885;530;885;538;893;538;893;530
A;767;803;767;811;774;811;774;803
B;916;830;916;858;936;858;936;830
A;899;984;899;984;903;984;903;984
B;376;1117;376;1135;390;1135;390;1117
A;656;1326;656;1327;656;1327;656;1326
A;656;1653;656;1660;661;1660;661;1653
A;628;1977;628;1980;631;1980;631;1977
A;485;2065;485;2066;485;2066;485;2065
A;393;2297;393;2297;394;2297;394;2297
A;795;2306;795;2310;799;2310;799;2306
A;400;2357;400;2357;400;2357;400;2357
A;677;2363;677;2367;682;2367;682;2363
A;526;2379;526;2382;529;2382;529;2379
A;826;2554;826;2555;829;2555;829;2554
A;623;2685;623;2686;623;2686;623;2685
A;874;2799;874;2800;876;2800;876;2799
A;381;2955;381;2957;384;2957;384;2955
A;843;2973;843;2974;844;2974;844;2973
