name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;962;0;939;3051;1660;3051;1199;0
header;177;146;177;179;1472;179;1472;146
A;1095;41;1095;42;1098;42;1098;41
A;1040;181;1040;182;1040;182;1040;181
A;980;213;980;239;1000;239;1000;213
B;1190;734;1190;746;1198;746;1198;734
B;984;891;984;918;1003;918;1003;891
D;1244;1169;1244;1211;1280;1211;1280;1169
B;1339;1169;1339;1210;1368;1210;1368;1169
A;1059;1170;1059;1211;1093;1211;1093;1170
C;1217;1496;1217;1541;1246;1541;1246;1496
A;1265;1496;1265;1539;1298;1539;1298;1496
D;1103;1497;1103;1541;1137;1541;1137;1497
B;1161;1497;1161;1541;1195;1541;1195;1497
D;1375;1497;1375;1542;1410;1542;1410;1497
B;1320;1498;1320;1541;1351;1541;1351;1498
B;945;1499;945;1544;979;1544;979;1499
C;975;1759;975;1786;997;1786;997;1759
A;1131;1847;1131;1847;1132;1847;1132;1847
A;1194;2121;1194;2121;1194;2121;1194;2121
A;1080;2398;1080;2398;1082;2398;1082;2398
D;975;2446;975;2474;997;2474;997;2446
A;1123;2494;1123;2494;1124;2494;1124;2494
B;1009;2687;1009;2706;1023;2706;1023;2687
A;1360;2985;1360;2986;1360;2986;1360;2985
