name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;434;0;157;3069;987;3069;964;0
header;129;194;129;244;1763;244;1763;194
A;923;104;923;108;927;108;927;104
A;749;187;749;188;749;188;749;187
A;934;262;934;293;958;293;958;262
B;935;939;935;968;953;968;953;939
A;392;1105;392;1111;398;1111;398;1105
C;936;1609;936;1641;959;1641;959;1609
A;868;1879;868;1882;870;1882;870;1879
A;256;1931;256;1956;270;1956;270;1931
A;785;2023;785;2023;785;2023;785;2023
D;935;2297;935;2327;961;2327;961;2297
A;225;2344;225;2345;227;2345;227;2344
B;492;2672;492;2699;520;2699;520;2672
