name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;697;0;811;3059;1043;3059;1066;0
header;220;153;220;190;1855;190;1855;153
A;1014;215;1014;244;1040;244;1040;215
A;800;417;800;428;808;428;808;417
B;1013;887;1013;917;1037;917;1037;887
A;930;921;930;933;937;933;937;921
B;993;1149;993;1162;1001;1162;1001;1149
C;1012;1554;1012;1583;1033;1583;1033;1554
A;857;1974;857;1986;864;1986;864;1974
D;1011;2226;1011;2256;1035;2256;1035;2226
A;908;2479;908;2491;915;2491;915;2479
A;985;2753;985;2766;992;2766;992;2753
