name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;256;0;233;3079;1054;3079;1031;0
header;204;151;204;189;1825;189;1825;151
A;998;217;998;246;1023;246;1023;217
C;527;446;527;473;557;473;557;446
B;1006;884;1006;911;1027;911;1027;884
B;301;921;301;940;315;940;315;921
A;521;973;521;973;521;973;521;973
B;731;1344;731;1363;745;1363;745;1344
C;1006;1557;1006;1585;1027;1585;1027;1557
A;879;2114;879;2116;881;2116;881;2114
D;1008;2248;1008;2279;1032;2279;1032;2248
B;618;2549;618;2574;639;2574;639;2549
