name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;339;0;477;3055;1218;3055;873;0
header;193;122;193;155;1831;155;1831;122
A;593;832;593;832;593;832;593;832
A;783;980;783;981;785;981;785;980
A;623;1410;623;1415;628;1415;628;1410
A;503;1505;503;1510;508;1510;508;1505
A;758;1535;758;1535;758;1535;758;1535
A;928;1906;928;1906;928;1906;928;1906
A;670;1951;670;1955;673;1955;673;1951
B;663;2115;663;2132;679;2132;679;2115
A;634;2923;634;2926;638;2926;638;2923
A;1062;2975;1062;2977;1068;2977;1068;2975
