name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1107;0;1198;3057;1771;3057;1794;0
header;158;153;158;185;1784;185;1784;153
B;1765;535;1765;555;1780;555;1780;535
A;1387;968;1387;995;1397;995;1397;968
A;1294;969;1294;994;1312;994;1312;969
A;1405;969;1405;995;1414;995;1414;969
A;1763;1027;1763;1027;1763;1027;1763;1027
A;1185;1266;1185;1271;1189;1271;1189;1266
A;1405;1454;1405;1461;1412;1461;1412;1454
B;1272;1521;1272;1548;1290;1548;1290;1521
A;1714;1619;1714;1623;1718;1623;1718;1619
B;1387;1703;1387;1720;1399;1720;1399;1703
A;1607;1801;1607;1809;1614;1809;1614;1801
C;1160;1963;1160;1985;1178;1985;1178;1963
A;1567;2045;1567;2070;1588;2070;1588;2045
A;1257;2176;1257;2201;1275;2201;1275;2176
A;1692;2241;1692;2254;1699;2254;1699;2241
A;1190;2281;1190;2293;1197;2293;1197;2281
A;1772;2407;1772;2411;1777;2411;1777;2407
A;1678;2536;1678;2541;1684;2541;1684;2536
B;1191;2579;1191;2596;1205;2596;1205;2579
D;1302;2841;1302;2858;1315;2858;1315;2841
A;1252;2855;1252;2860;1256;2860;1256;2855
