name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;221;0;450;3059;1010;3059;896;0
header;115;139;115;176;1727;176;1727;139
A;807;82;807;82;807;82;807;82
B;628;752;628;778;641;778;641;752
A;715;1054;715;1056;719;1056;719;1054
D;877;1254;877;1279;906;1279;906;1254
C;921;1535;921;1563;942;1563;942;1535
A;383;1752;383;1753;385;1753;385;1752
D;708;2099;708;2126;740;2126;740;2099
D;924;2206;924;2235;950;2235;950;2206
B;830;2337;830;2354;858;2354;858;2337
B;779;2784;779;2802;792;2802;792;2784
B;669;2832;669;2858;688;2858;688;2832
A;899;2927;899;2927;899;2927;899;2927
