name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;189;0;512;3065;889;3065;889;0
header;325;168;325;211;1677;211;1677;168
A;460;128;460;128;461;128;461;128
A;711;156;711;156;711;156;711;156
A;851;231;851;258;876;258;876;231
A;499;281;499;288;505;288;505;281
A;236;350;236;350;237;350;237;350
A;606;564;606;566;608;566;608;564
B;853;904;853;934;873;934;873;904
A;871;1234;871;1234;871;1234;871;1234
A;581;1271;581;1274;584;1274;584;1271
C;847;1577;847;1605;869;1605;869;1577
B;400;1921;400;1947;438;1947;438;1921
D;851;2242;851;2270;873;2270;873;2242
A;567;2956;567;2958;573;2958;573;2956
