name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;902;0;1202;3063;1716;3063;1463;0
header;81;119;81;159;1705;159;1705;119
A;1173;86;1173;89;1174;89;1174;86
A;1477;792;1477;804;1484;804;1484;792
A;1087;991;1087;993;1089;993;1089;991
B;1107;1688;1107;1706;1122;1706;1122;1688
B;1343;1734;1343;1753;1357;1753;1357;1734
A;1290;2022;1290;2033;1297;2033;1297;2022
B;1132;2054;1132;2073;1145;2073;1145;2054
D;1539;2469;1539;2486;1553;2486;1553;2469
A;1545;2735;1545;2735;1545;2735;1545;2735
C;1387;2794;1387;2821;1407;2821;1407;2794
C;1504;2874;1504;2906;1522;2906;1522;2874
