name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;709;0;847;3067;1012;3067;966;0
header;137;152;137;191;1757;191;1757;152
A;934;214;934;241;956;241;956;214
A;754;351;754;376;768;376;768;351
B;945;879;945;905;965;905;965;879
A;959;1157;959;1163;966;1163;966;1157
C;947;1545;947;1574;968;1574;968;1545
B;836;1916;836;1941;850;1941;850;1916
D;963;2232;963;2260;984;2260;984;2232
A;935;2282;935;2307;949;2307;949;2282
A;934;2463;934;2491;952;2491;952;2463
A;859;2555;859;2581;873;2581;873;2555
A;997;3015;997;3015;997;3015;997;3015
