name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;520;0;704;3069;1058;3069;1035;0
header;192;132;192;167;1835;167;1835;132
A;569;70;569;74;576;74;576;70
A;999;190;999;223;1024;223;1024;190
B;626;374;626;398;660;398;660;374
B;1010;869;1010;896;1029;896;1029;869
C;1010;1536;1010;1569;1032;1569;1032;1536
B;984;1807;984;1827;1000;1827;1000;1807
B;917;1993;917;2012;931;2012;931;1993
D;820;2077;820;2105;841;2105;841;2077
D;1020;2209;1020;2236;1041;2236;1041;2209
B;709;2268;709;2285;723;2285;723;2268
A;794;2612;794;2615;798;2615;798;2612
