name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;600;0;922;3051;1038;3051;1061;0
header;961;297;961;330;1106;330;1106;297
A;962;156;962;159;971;159;971;156
A;912;291;912;293;913;293;913;291
A;868;294;868;294;868;294;868;294
A;961;457;961;485;985;485;985;457
A;764;905;764;912;771;912;771;905
B;965;1129;965;1157;988;1157;988;1129
A;797;1272;797;1281;805;1281;805;1272
A;984;1328;984;1328;984;1328;984;1328
A;798;1499;798;1507;806;1507;806;1499
A;1034;1685;1034;1685;1034;1685;1034;1685
C;957;1794;957;1824;979;1824;979;1794
B;995;2104;995;2123;1011;2123;1011;2104
A;885;2408;885;2408;885;2408;885;2408
