name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;281;0;235;3057;1012;3057;1173;0
header;132;117;132;152;1761;152;1761;117
A;437;106;437;106;437;106;437;106
B;374;323;374;340;386;340;386;323
B;358;495;358;513;372;513;372;495
B;1102;656;1102;684;1124;684;1124;656
C;447;705;447;733;466;733;466;705
A;974;1334;974;1337;1006;1337;1006;1334
B;434;1632;434;1650;448;1650;448;1632
B;682;1675;682;1692;696;1692;696;1675
B;834;2060;834;2087;866;2087;866;2060
B;733;2293;733;2311;747;2311;747;2293
D;564;2599;564;2617;578;2617;578;2599
