name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;165;0;298;3061;1050;3061;981;0
header;166;129;166;165;1794;165;1794;129
A;962;189;962;217;985;217;985;189
B;729;335;729;353;743;353;743;335
B;960;861;960;888;981;888;981;861
B;385;1152;385;1172;398;1172;398;1152
A;977;1467;977;1470;979;1470;979;1467
A;490;1525;490;1527;491;1527;491;1525
C;963;1533;963;1562;985;1562;985;1533
A;636;1783;636;1795;643;1795;643;1783
B;770;2186;770;2204;784;2204;784;2186
B;961;2207;961;2237;986;2237;986;2207
A;937;2335;937;2347;944;2347;944;2335
A;501;2494;501;2497;504;2497;504;2494
