name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;941;0;941;3065;1608;3065;1145;0
header;595;218;595;254;1709;254;1709;218
A;1017;207;1017;209;1018;209;1018;207
A;1252;1146;1252;1147;1254;1147;1254;1146
A;1233;2091;1233;2135;1259;2135;1259;2091
B;1311;2092;1311;2134;1323;2134;1323;2092
C;1195;2093;1195;2136;1224;2136;1224;2093
B;1268;2093;1268;2135;1299;2135;1299;2093
B;1028;2094;1028;2138;1059;2138;1059;2094
A;1255;2331;1255;2331;1255;2331;1255;2331
A;1268;2341;1268;2344;1277;2344;1277;2341
D;1386;2438;1386;2464;1407;2464;1407;2438
