name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;231;0;392;3065;1012;3065;1012;0
header;139;107;139;151;1757;151;1757;107
A;938;168;938;197;963;197;963;168
B;302;673;302;700;336;700;336;673
B;935;723;935;750;955;750;955;723
A;524;1210;524;1213;530;1213;530;1210
A;824;1314;824;1322;831;1322;831;1314
A;515;1405;515;1412;521;1412;521;1405
C;939;1500;939;1528;960;1528;960;1500
A;362;1589;362;1597;369;1597;369;1589
B;973;1589;973;1608;991;1608;991;1589
A;621;1771;621;1777;627;1777;627;1771
D;943;2161;943;2188;965;2188;965;2161
A;957;2349;957;2352;960;2352;960;2349
