name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;177;0;640;3067;946;3067;946;0
header;105;114;105;152;1739;152;1739;114
D;715;407;715;451;747;451;747;407
B;928;409;928;452;960;452;960;409
A;912;655;912;686;936;686;936;655
A;520;1034;520;1034;521;1034;521;1034
B;913;1333;913;1358;933;1358;933;1333
C;908;2001;908;2030;929;2030;929;2001
A;587;2519;587;2526;593;2526;593;2519
A;718;2565;718;2571;723;2571;723;2565
D;907;2678;907;2707;930;2707;930;2678
A;803;2750;803;2757;809;2757;809;2750
A;713;2796;713;2803;722;2803;722;2796
