name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;661;0;408;3069;963;3069;963;0
header;126;179;126;234;1747;234;1747;179
A;960;168;960;169;960;169;960;168
A;769;171;769;172;770;172;770;171
A;948;171;948;173;950;173;950;171
A;931;253;931;280;953;280;953;253
A;953;502;953;505;955;505;955;502
A;660;709;660;716;667;716;667;709
A;608;773;608;773;609;773;609;773
A;650;846;650;853;657;853;657;846
A;648;873;648;873;648;873;648;873
B;927;913;927;939;948;939;948;913
A;615;1092;615;1093;616;1093;616;1092
A;811;1126;811;1133;818;1133;818;1126
C;923;1578;923;1605;943;1605;943;1578
A;620;1649;620;1653;622;1653;622;1649
A;629;1745;629;1745;629;1745;629;1745
A;555;1819;555;1819;555;1819;555;1819
D;929;2243;929;2270;951;2270;951;2243
A;839;2618;839;2618;839;2618;839;2618
A;454;2657;454;2657;455;2657;455;2657
A;865;2752;865;2752;865;2752;865;2752
