name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;908;0;885;3077;1692;3077;1669;0
header;86;198;86;235;1725;235;1725;198
A;1509;58;1509;66;1518;66;1518;58
A;1664;179;1664;179;1664;179;1664;179
A;899;259;899;286;917;286;917;259
B;1374;355;1374;373;1388;373;1388;355
C;1203;539;1203;558;1218;558;1218;539
B;1024;769;1024;788;1039;788;1039;769
B;900;939;900;966;921;966;921;939
B;1242;955;1242;973;1256;973;1256;955
A;1476;1116;1476;1116;1476;1116;1476;1116
C;904;1606;904;1639;927;1639;927;1606
A;1495;1924;1495;1925;1497;1925;1497;1924
