name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;146;0;280;3065;993;3065;993;0
header;151;160;151;195;1771;195;1771;160
A;948;226;948;252;969;252;969;226
A;215;697;215;704;223;704;223;697
A;466;818;466;842;480;842;480;818
A;537;871;537;879;545;879;545;871
B;957;889;957;917;978;917;978;889
A;414;1008;414;1015;421;1015;421;1008
C;961;1552;961;1580;982;1580;982;1552
A;245;1785;245;1792;251;1792;251;1785
A;697;2193;697;2218;711;2218;711;2193
D;963;2227;963;2253;985;2253;985;2227
B;731;2878;731;2909;750;2909;750;2878
A;692;2914;692;2914;692;2914;692;2914
