name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;919;0;896;3059;949;3059;972;0
header;121;152;121;190;1743;190;1743;152
B;927;216;927;245;935;245;935;216
B;959;216;959;244;967;244;967;216
A;944;217;944;244;950;244;950;217
D;916;327;916;346;932;346;932;327
B;923;427;923;447;940;447;940;427
B;948;428;948;447;963;447;963;428
D;941;632;941;653;958;653;958;632
C;943;781;943;806;961;806;961;781
B;920;785;920;806;936;806;936;785
A;962;1241;962;1243;963;1243;963;1241
B;941;1248;941;1268;955;1268;955;1248
A;962;1258;962;1260;963;1260;963;1258
B;924;1452;924;1473;938;1473;938;1452
D;945;1453;945;1473;962;1473;962;1453
A;915;1597;915;1626;919;1626;919;1597
C;926;1607;926;1628;941;1628;941;1607
C;920;1699;920;1728;942;1728;942;1699
B;898;1758;898;1778;914;1778;914;1758
A;942;1862;942;1866;946;1866;946;1862
