name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;731;0;708;3069;1093;3069;1070;0
header;243;162;243;196;1862;196;1862;162
A;1039;219;1039;246;1062;246;1062;219
B;1040;895;1040;925;1063;925;1063;895
B;955;1293;955;1303;962;1303;962;1293
A;746;1359;746;1359;747;1359;747;1359
B;861;1556;861;1573;874;1573;874;1556
C;1043;1561;1043;1587;1063;1587;1063;1561
B;795;2011;795;2030;809;2030;809;2011
A;760;2147;760;2167;775;2167;775;2147
D;1050;2223;1050;2250;1074;2250;1074;2223
B;891;2378;891;2396;906;2396;906;2378
