name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;854;0;1130;3059;1820;3059;1452;0
header;216;111;216;159;1851;159;1851;111
A;1022;179;1022;205;1044;205;1044;179
A;993;288;993;300;1000;300;1000;288
A;1265;350;1265;354;1267;354;1267;350
B;1019;809;1019;839;1042;839;1042;809
B;1223;984;1223;1010;1242;1010;1242;984
B;989;1260;989;1287;1009;1287;1009;1260
B;1576;1260;1576;1285;1595;1285;1595;1260
A;1408;1314;1408;1321;1414;1321;1414;1314
B;1372;1353;1372;1378;1392;1378;1392;1353
C;1025;1486;1025;1514;1045;1514;1045;1486
A;1234;1545;1234;1552;1241;1552;1241;1545
A;1198;2160;1198;2168;1206;2168;1206;2160
C;1394;2314;1394;2341;1410;2341;1410;2314
B;1193;2781;1193;2805;1210;2805;1210;2781
