name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;689;0;1034;3055;1759;3055;1775;0
header;154;146;154;187;1776;187;1776;146
A;953;218;953;245;973;245;973;218
B;1681;539;1681;557;1713;557;1713;539
B;954;904;954;931;973;931;973;904
A;1548;1042;1548;1042;1548;1042;1548;1042
B;1157;1555;1157;1630;1208;1630;1208;1555
A;1097;1786;1097;1790;1101;1790;1101;1786
A;1404;1914;1404;1914;1404;1914;1404;1914
C;952;1959;952;1988;974;1988;974;1959
A;966;2119;966;2120;968;2120;968;2119
A;1085;2320;1085;2322;1086;2322;1086;2320
A;1672;2412;1672;2412;1672;2412;1672;2412
A;1522;2500;1522;2500;1522;2500;1522;2500
A;1112;2872;1112;2872;1112;2872;1112;2872
