name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;668;0;461;3059;992;3059;992;0
header;159;127;159;161;1777;161;1777;127
A;956;191;956;215;979;215;979;191
A;932;377;932;382;937;382;937;377
A;782;515;782;522;789;522;789;515
A;931;560;931;567;938;567;938;560
A;808;606;808;612;813;612;813;606
B;957;855;957;883;979;883;979;855
A;629;883;629;889;636;889;636;883
A;623;1207;623;1215;630;1215;630;1207
C;954;1530;954;1559;975;1559;975;1530
A;818;1757;818;1765;825;1765;825;1757
A;700;1984;700;1991;706;1991;706;1984
A;931;2075;931;2083;938;2083;938;2075
D;957;2205;957;2230;978;2230;978;2205
B;666;2642;666;2668;684;2668;684;2642
