name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;312;0;565;3055;989;3055;966;0
header;126;160;126;199;1752;199;1752;160
A;838;140;838;143;842;143;842;140
A;905;372;905;379;912;379;912;372
A;855;800;855;802;857;802;857;800
B;937;898;937;925;958;925;958;898
A;910;1359;910;1366;918;1366;918;1359
A;627;1404;627;1411;634;1411;634;1404
C;935;1579;935;1608;957;1608;957;1579
A;585;1725;585;1733;592;1733;592;1725
A;477;1956;477;1962;484;1962;484;1956
A;938;2016;938;2016;938;2016;938;2016
A;923;2669;923;2678;931;2678;931;2669
C;655;2742;655;2769;674;2769;674;2742
B;757;2748;757;2767;772;2767;772;2748
A;613;2906;613;2908;616;2908;616;2906
A;859;2959;859;2960;861;2960;861;2959
