name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;610;0;564;3055;1045;3055;1022;0
header;181;131;181;169;1821;169;1821;131
A;742;92;742;92;742;92;742;92
A;983;189;983;221;1016;221;1016;189
A;833;420;833;423;836;423;836;420
A;876;552;876;554;877;554;877;552
A;758;812;758;823;765;823;765;812
B;995;874;995;901;1014;901;1014;874
B;789;1123;789;1141;805;1141;805;1123
C;993;1539;993;1569;1016;1569;1016;1539
B;672;2089;672;2107;687;2107;687;2089
A;720;2160;720;2162;722;2162;722;2160
C;762;2181;762;2200;777;2200;777;2181
D;1005;2215;1005;2241;1025;2241;1025;2215
A;838;2903;838;2904;838;2904;838;2903
A;763;2950;763;2953;767;2953;767;2950
A;652;2956;652;2956;652;2956;652;2956
