name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;528;0;780;3051;975;3051;952;0
header;113;101;113;147;1749;147;1749;101
A;918;170;918;200;942;200;942;170
A;650;314;650;333;664;333;664;314
A;910;722;910;722;910;722;910;722
A;926;1178;926;1180;928;1180;928;1178
A;925;1358;925;1358;925;1358;925;1358
A;848;1525;848;1536;856;1536;856;1525
C;926;1527;926;1556;947;1556;947;1527
B;782;1981;782;2000;796;2000;796;1981
D;928;2208;928;2236;951;2236;951;2208
B;901;2347;901;2363;910;2363;910;2347
A;955;2674;955;2674;955;2674;955;2674
