name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;942;0;896;3057;953;3057;976;0
header;124;147;124;187;1745;187;1745;147
B;962;213;962;241;970;241;970;213
B;951;423;951;442;966;442;966;423
D;945;629;945;649;961;649;961;629
C;946;777;946;803;965;803;965;777
B;923;781;923;801;939;801;939;781
C;944;1142;944;1163;958;1163;958;1142
A;965;1236;965;1238;967;1238;967;1236
D;930;1602;930;1623;945;1623;945;1602
C;923;1694;923;1724;945;1724;945;1694
B;925;1754;925;1774;940;1774;940;1754
A;945;1857;945;1862;950;1862;950;1857
B;941;2059;941;2080;955;2080;955;2059
