name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;118;0;245;3059;955;3059;955;0
header;119;128;119;163;1742;163;1742;128
A;323;69;323;69;323;69;323;69
A;920;188;920;216;943;216;943;188
A;504;467;504;474;510;474;510;467
A;352;653;352;659;359;659;359;653
B;917;860;917;890;940;890;940;860
B;670;961;670;986;683;986;683;961
C;916;1531;916;1563;938;1563;938;1531
B;787;1743;787;1769;801;1769;801;1743
D;917;2199;917;2229;942;2229;942;2199
A;908;2330;908;2330;908;2330;908;2330
A;465;2342;465;2343;466;2343;466;2342
C;648;2814;648;2840;667;2840;667;2814
C;361;2819;361;2845;380;2845;380;2819
B;449;2825;449;2843;463;2843;463;2825
C;835;2847;835;2876;854;2876;854;2847
A;476;2986;476;2989;478;2989;478;2986
