name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1134;0;765;3065;1764;3065;1474;0
header;122;208;122;247;1741;247;1741;208
A;1465;199;1465;201;1466;201;1466;199
A;1317;772;1317;778;1323;778;1323;772
A;1545;1415;1545;1422;1552;1422;1552;1415
D;1402;1499;1402;1534;1426;1534;1426;1499
A;949;1540;949;1540;949;1540;949;1540
A;1467;1924;1467;1930;1473;1930;1473;1924
A;1019;2062;1019;2069;1026;2069;1026;2062
D;941;2244;941;2271;961;2271;961;2244
C;1427;2317;1427;2338;1445;2338;1445;2317
C;1138;2353;1138;2374;1157;2374;1157;2353
A;1317;2541;1317;2547;1323;2547;1323;2541
A;1260;2543;1260;2548;1267;2548;1267;2543
A;1085;2753;1085;2758;1091;2758;1091;2753
A;930;2834;930;2834;930;2834;930;2834
