name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;454;0;894;3069;1759;3069;1538;0
header;131;122;131;160;1761;160;1761;122
A;1035;233;1035;237;1039;237;1039;233
A;954;322;954;323;954;323;954;322
A;931;374;931;402;952;402;952;374
A;940;531;940;534;942;534;942;531
A;919;643;919;645;921;645;921;643
D;808;668;808;680;815;680;815;668
A;787;701;787;709;794;709;794;701
A;688;774;688;774;688;774;688;774
A;777;792;777;799;784;799;784;792
A;1420;830;1420;855;1434;855;1434;830
A;664;976;664;984;671;984;671;976
B;936;1040;936;1066;956;1066;956;1040
A;1559;1067;1559;1073;1566;1073;1566;1067
A;1502;1197;1502;1223;1516;1223;1516;1197
A;1178;1290;1178;1315;1192;1315;1192;1290
A;724;1298;724;1305;732;1305;732;1298
A;730;1482;730;1489;737;1489;737;1482
A;713;1610;713;1610;715;1610;715;1610
A;704;1613;704;1614;704;1614;704;1613
A;1566;1633;1566;1633;1566;1633;1566;1633
C;930;1757;930;1789;953;1789;953;1757
A;1362;1943;1362;1955;1368;1955;1368;1943
A;1256;2005;1256;2006;1263;2006;1263;2005
A;1602;2054;1602;2054;1602;2054;1602;2054
A;815;2375;815;2375;816;2375;816;2375
A;1363;2417;1363;2417;1363;2417;1363;2417
D;931;2430;931;2460;958;2460;958;2430
