name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;984;0;984;3067;1817;3067;1840;0
header;198;112;198;255;1900;255;1900;112
A;1269;404;1269;429;1283;429;1283;404
B;1004;844;1004;871;1023;871;1023;844
B;1311;871;1311;888;1336;888;1336;871
C;1002;1511;1002;1539;1024;1539;1024;1511
A;1614;1880;1614;1887;1620;1887;1620;1880
A;1015;1887;1015;1889;1016;1889;1016;1887
D;1136;2149;1136;2174;1165;2174;1165;2149
D;1009;2181;1009;2206;1027;2206;1027;2181
A;1157;2610;1157;2613;1159;2613;1159;2610
B;1710;2617;1710;2642;1727;2642;1727;2617
