name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;488;0;534;3061;1648;3061;1487;0
header;202;246;202;279;1823;279;1823;246
A;1001;306;1001;333;1023;333;1023;306
A;655;577;655;602;676;602;676;577
B;995;966;995;994;1016;994;1016;966
A;539;1075;539;1075;539;1075;539;1075
A;673;1121;673;1121;674;1121;674;1121
D;1034;1446;1034;1473;1068;1473;1068;1446
A;1298;2090;1298;2090;1298;2090;1298;2090
A;1103;2091;1103;2091;1104;2091;1104;2091
D;1002;2309;1002;2335;1020;2335;1020;2309
B;898;2382;898;2400;912;2400;912;2382
A;1541;2634;1541;2638;1545;2638;1545;2634
A;1612;2873;1612;2898;1627;2898;1627;2873
A;900;3047;900;3049;906;3049;906;3047
