name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;930;0;907;3073;1470;3073;1355;0
header;149;125;149;160;1776;160;1776;125
A;1058;72;1058;74;1060;74;1060;72
A;938;100;938;112;943;112;943;100
A;954;185;954;211;972;211;972;185
A;1321;789;1321;795;1327;795;1327;789
B;956;862;956;889;977;889;977;862
A;1352;1063;1352;1070;1358;1070;1358;1063
C;954;1528;954;1556;975;1556;975;1528
A;946;2154;946;2154;946;2154;946;2154
D;954;2200;954;2227;977;2227;977;2200
A;1063;2511;1063;2518;1068;2518;1068;2511
A;1432;2961;1432;2961;1433;2961;1433;2961
