name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;705;0;770;3069;1432;3069;1202;0
header;1026;1845;1026;1927;1485;1927;1485;1845
A;901;1621;901;1623;902;1623;902;1621
A;997;1738;997;1738;999;1738;999;1738
A;1187;1868;1187;1878;1198;1878;1198;1868
A;1124;1881;1124;1883;1127;1883;1127;1881
A;1173;1885;1173;1889;1176;1889;1176;1885
A;1179;1897;1179;1901;1182;1901;1182;1897
A;1191;1905;1191;1911;1195;1911;1195;1905
A;931;2003;931;2008;935;2008;935;2003
A;1011;2007;1011;2026;1024;2026;1024;2007
A;891;2015;891;2022;899;2022;899;2015
A;899;2031;899;2033;900;2033;900;2031
A;1001;2037;1001;2039;1001;2039;1001;2037
A;841;2044;841;2047;844;2047;844;2044
A;842;2063;842;2067;845;2067;845;2063
A;901;2066;901;2069;904;2069;904;2066
A;979;2500;979;2500;979;2500;979;2500
