name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;928;0;951;3079;1370;3079;1208;0
header;127;131;127;165;1148;165;1148;131
A;953;60;953;63;957;63;957;60
A;1144;179;1144;180;1144;180;1144;179
A;932;190;932;219;953;219;953;190
A;1045;603;1045;603;1045;603;1045;603
B;944;865;944;893;964;893;964;865
A;943;1157;943;1159;946;1159;946;1157
A;1255;1198;1255;1223;1268;1223;1268;1198
A;1225;1336;1225;1362;1239;1362;1239;1336
A;946;1494;946;1495;947;1495;947;1494
C;955;1534;955;1565;978;1565;978;1534
A;1125;1704;1125;1729;1139;1729;1139;1704
D;969;2205;969;2231;990;2231;990;2205
