name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;116;0;139;3071;1363;3071;1132;0
header;111;146;111;185;1817;185;1817;146
A;162;200;162;201;162;201;162;200
A;920;207;920;236;943;236;943;207
D;340;392;340;419;375;419;375;392
B;927;886;927;914;949;914;949;886
A;904;1046;904;1051;911;1051;911;1046
D;226;1223;226;1240;238;1240;238;1223
B;900;1495;900;1515;915;1515;915;1495
C;930;1561;930;1591;952;1591;952;1561
A;1043;1738;1043;1749;1050;1749;1050;1738
A;716;1850;716;1851;716;1851;716;1850
D;930;2230;930;2262;956;2262;956;2230
