name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;389;0;665;3059;1616;3059;1340;0
header;169;84;169;130;1791;130;1791;84
D;867;234;867;290;908;290;908;234
B;971;234;971;287;1010;287;1010;234
C;817;235;817;290;858;290;858;235
B;771;236;771;289;810;289;810;236
A;722;238;722;291;760;291;760;238
D;729;339;729;368;751;368;751;339
B;758;339;758;367;779;367;779;339
B;1375;463;1375;480;1389;480;1389;463
D;649;473;649;490;662;490;662;473
B;1361;524;1361;550;1380;550;1380;524
D;575;535;575;560;591;560;591;535
B;1068;953;1068;970;1082;970;1082;953
A;1172;1094;1172;1094;1172;1094;1172;1094
B;1290;1294;1290;1319;1319;1319;1319;1294
A;1059;1295;1059;1318;1070;1318;1070;1295
B;725;1297;725;1320;742;1320;742;1297
B;1265;1391;1265;1414;1280;1414;1280;1391
A;729;1403;729;1415;736;1415;736;1403
D;1092;1544;1092;1567;1110;1567;1110;1544
A;665;2347;665;2351;669;2351;669;2347
A;1101;2410;1101;2414;1106;2414;1106;2410
C;970;2685;970;2702;985;2702;985;2685
A;1297;2712;1297;2712;1297;2712;1297;2712
