name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;236;0;328;3061;992;3061;1015;0
header;172;159;172;193;1801;193;1801;159
A;847;42;847;46;850;46;850;42
A;966;215;966;245;988;245;988;215
D;479;308;479;335;513;335;513;308
C;503;411;503;437;532;437;532;411
A;1004;469;1004;469;1004;469;1004;469
B;969;879;969;908;992;908;992;879
A;972;943;972;944;973;944;973;943
C;970;1552;970;1583;992;1583;992;1552
D;973;2224;973;2254;1001;2254;1001;2224
C;351;2743;351;2772;370;2772;370;2743
B;448;2749;448;2768;462;2768;462;2749
