name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;849;0;1079;3061;1673;3061;1397;0
header;144;90;144;127;1773;127;1773;90
A;1216;64;1216;64;1216;64;1216;64
A;952;151;952;177;971;177;971;151
A;975;358;975;359;976;359;976;358
B;1151;479;1151;496;1181;496;1181;479
B;958;832;958;861;978;861;978;832
A;934;994;934;1006;940;1006;940;994
A;959;1437;959;1437;959;1437;959;1437
C;955;1486;955;1514;976;1514;976;1486
D;1395;2032;1395;2059;1430;2059;1430;2032
B;997;2128;997;2154;1025;2154;1025;2128
A;1201;2348;1201;2349;1201;2349;1201;2348
A;1248;2464;1248;2464;1248;2464;1248;2464
A;1470;2508;1470;2526;1477;2526;1477;2508
A;1462;2555;1462;2562;1469;2562;1469;2555
B;1199;2741;1199;2760;1206;2760;1206;2741
A;1305;2901;1305;2901;1305;2901;1305;2901
