name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;939;0;870;3065;1596;3065;1227;0
header;227;90;227;140;1842;140;1842;90
A;1040;42;1040;45;1044;45;1044;42
A;1022;170;1022;190;1044;190;1044;170
A;1122;202;1122;202;1123;202;1123;202
A;1203;379;1203;379;1203;379;1203;379
A;1191;571;1191;578;1199;578;1199;571
B;1025;832;1025;859;1045;859;1045;832
A;932;892;932;892;932;892;932;892
A;942;893;942;893;943;893;943;893
A;921;910;921;922;928;922;928;910
A;1273;978;1273;979;1273;979;1273;978
C;1021;1494;1021;1524;1042;1524;1042;1494
A;1373;1578;1373;1586;1381;1586;1381;1578
A;1018;1630;1018;1630;1018;1630;1018;1630
A;934;1987;934;1989;936;1989;936;1987
A;1027;2033;1027;2035;1028;2035;1028;2033
A;1235;2082;1235;2084;1238;2084;1238;2082
D;1020;2162;1020;2191;1043;2191;1043;2162
A;1003;2532;1003;2535;1005;2535;1005;2532
A;1091;2532;1091;2532;1092;2532;1092;2532
A;1482;2533;1482;2533;1482;2533;1482;2533
A;1027;2625;1027;2626;1029;2626;1029;2625
A;1324;2625;1324;2626;1326;2626;1326;2625
A;1020;2720;1020;2728;1023;2728;1023;2720
A;1005;2811;1005;2812;1005;2812;1005;2811
A;1319;2857;1319;2858;1319;2858;1319;2857
A;1402;2861;1402;2864;1405;2864;1405;2861
A;1299;2942;1299;2942;1300;2942;1300;2942
