name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;195;0;448;3069;1341;3069;1411;0
header;84;175;84;209;1702;209;1702;175
A;887;236;887;261;906;261;906;236
A;289;588;289;590;291;590;291;588
D;497;693;497;718;536;718;536;693
B;894;900;894;926;912;926;912;900
A;320;1197;320;1221;334;1221;334;1197
A;1147;1514;1147;1515;1148;1515;1148;1514
C;898;1570;898;1599;918;1599;918;1570
B;489;1609;489;1635;502;1635;502;1609
A;727;1846;727;1848;729;1848;729;1846
A;686;1899;686;1901;690;1901;690;1899
A;1009;1973;1009;1973;1009;1973;1009;1973
A;1281;2260;1281;2260;1281;2260;1281;2260
A;944;2357;944;2357;944;2357;944;2357
A;1290;2645;1290;2646;1290;2646;1290;2645
A;838;2948;838;2950;840;2950;840;2948
