name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;265;0;265;3055;1703;3055;1795;0
header;948;106;948;115;1080;115;1080;106
A;642;339;642;349;648;349;648;339
A;646;447;646;449;646;449;646;447
A;1258;448;1258;448;1260;448;1260;448
A;1104;466;1104;468;1107;468;1107;466
A;1611;572;1611;576;1616;576;1616;572
A;606;601;606;607;612;607;612;601
B;1638;671;1638;699;1668;699;1668;671
B;978;759;978;785;999;785;999;759
A;1287;824;1287;830;1292;830;1292;824
A;1414;931;1414;931;1414;931;1414;931
A;1139;1018;1139;1019;1139;1019;1139;1018
A;1219;1351;1219;1363;1225;1363;1225;1351
A;270;1369;270;1370;272;1370;272;1369
A;1098;1371;1098;1371;1098;1371;1098;1371
A;1351;1543;1351;1543;1351;1543;1351;1543
B;1462;1737;1462;1756;1475;1756;1475;1737
A;1486;1739;1486;1739;1487;1739;1487;1739
A;297;1762;297;1762;297;1762;297;1762
A;1625;1782;1625;1782;1625;1782;1625;1782
A;344;1855;344;1855;345;1855;345;1855
B;1067;1954;1067;1974;1081;1974;1081;1954
A;662;1993;662;1994;664;1994;664;1993
A;911;2013;911;2015;914;2015;914;2013
A;611;2030;611;2030;612;2030;612;2030
A;640;2398;640;2398;640;2398;640;2398
A;749;2966;749;2967;749;2967;749;2966
