name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;418;0;349;3059;1742;3059;1447;0
header;116;147;116;186;1735;186;1735;147
A;918;214;918;241;940;241;940;214
A;411;497;411;504;417;504;417;497
B;921;882;921;910;942;910;942;882
A;693;911;693;918;700;918;700;911
B;1428;1319;1428;1338;1443;1338;1443;1319
A;522;1321;522;1329;529;1329;529;1321
A;777;1541;777;1567;791;1567;791;1541
C;921;1547;921;1578;943;1578;943;1547
A;803;1594;803;1602;810;1602;810;1594
A;897;2009;897;2016;904;2016;904;2009
B;1207;2053;1207;2072;1222;2072;1222;2053
B;593;2821;593;2847;602;2847;602;2821
A;562;2882;562;2883;562;2883;562;2882
