name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;972;0;904;3061;1772;3061;1449;0
header;762;159;762;193;1820;193;1820;159
A;1352;153;1352;153;1353;153;1353;153
A;968;216;968;245;991;245;991;216
B;973;883;973;912;998;912;998;883
B;1012;1459;1012;1491;1030;1491;1030;1459
C;977;1552;977;1582;998;1582;998;1552
A;1334;1696;1334;1703;1341;1703;1341;1696
A;1127;1790;1127;1797;1133;1797;1133;1790
A;1045;1826;1045;1853;1058;1853;1058;1826
A;1307;2202;1307;2208;1313;2208;1313;2202
D;979;2225;979;2253;1002;2253;1002;2225
A;956;2751;956;2759;963;2759;963;2751
