name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;591;0;614;3065;723;3065;999;0
header;200;168;200;212;1857;212;1857;168
A;859;142;859;142;860;142;860;142
A;782;149;782;151;784;151;784;149
A;655;490;655;493;658;493;658;490
A;718;585;718;588;718;588;718;585
A;620;1259;620;1261;622;1261;622;1259
A;794;1260;794;1260;796;1260;796;1260
A;743;1267;743;1272;746;1272;746;1267
A;698;1269;698;1270;700;1270;700;1269
A;621;1270;621;1276;621;1276;621;1270
A;791;1535;791;1538;792;1538;792;1535
A;699;1539;699;1539;699;1539;699;1539
A;631;1838;631;1838;632;1838;632;1838
A;775;2272;775;2275;777;2275;777;2272
A;691;2366;691;2367;692;2367;692;2366
A;635;2467;635;2467;636;2467;636;2467
