name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;266;0;335;3059;1032;3059;986;0
header;153;144;153;185;1803;185;1803;144
A;552;70;552;70;553;70;553;70
A;300;90;300;90;300;90;300;90
A;891;108;891;108;891;108;891;108
A;959;204;959;234;983;234;983;204
B;731;579;731;597;746;597;746;579
B;969;886;969;913;989;913;989;886
C;969;1568;969;1595;988;1595;988;1568
A;966;1824;966;1826;968;1826;968;1824
B;597;1915;597;1933;610;1933;610;1915
D;978;2221;978;2248;999;2248;999;2221
A;954;2436;954;2440;961;2440;961;2436
